age,sex,educ,race,income,married
59,1,9,1,0,1
31,0,1,3,17000,0
36,1,11,1,0,1
54,1,11,1,9100,1
39,0,5,3,37000,0
34,0,9,1,0,1
93,1,8,1,6000,1
69,0,13,1,350000,1
40,1,11,3,33000,1
27,1,11,1,25000,0
59,1,13,1,49000,1
31,1,11,3,0,1
73,1,13,4,35500,0
89,1,9,1,4000,1
39,1,10,3,15000,0
51,1,13,4,120000,1
32,0,9,1,13000,0
52,0,11,2,45000,0
24,0,7,1,0,0
48,1,10,1,4300,1
51,0,1,3,16000,1
43,1,14,1,365000,1
29,0,4,3,20000,0
44,1,15,1,17900,1
87,1,8,1,3600,0
27,1,11,3,10800,0
58,0,13,1,60900,1
32,1,11,3,25000,1
74,1,7,3,6520,0
28,1,13,4,21000,0
70,0,15,1,319000,1
35,0,9,1,30000,0
36,1,11,3,600,1
63,1,9,3,35800,1
21,1,9,3,18000,0
29,0,1,3,21200,1
44,0,13,1,50000,1
35,1,11,3,0,1
43,0,13,3,69800,1
59,1,10,4,30000,1
53,0,5,3,17300,1
42,0,10,1,38000,1
32,0,11,1,19000,1
50,0,16,1,52650,1
18,0,4,3,0,0
40,1,13,1,40000,1
42,1,11,1,7000,0
52,0,11,1,325000,1
56,1,14,1,52000,1
45,1,11,1,0,1
39,0,8,1,18000,0
28,0,10,1,49000,1
46,1,13,1,47000,1
45,0,11,3,50000,1
32,1,9,4,12000,1
22,1,9,1,5000,1
52,1,15,1,43000,1
21,0,3,3,12000,1
60,1,13,1,4000,1
77,1,11,1,2500,1
38,0,1,3,1800,0
40,1,11,3,15700,1
34,1,11,2,13700,0
48,1,12,1,76000,1
69,1,9,1,5010,1
46,0,11,1,85300,1
40,0,13,1,149000,0
26,1,9,3,12000,1
37,1,14,1,65000,0
30,0,5,3,13000,1
70,1,15,4,1800,1
42,1,4,3,0,0
24,1,3,3,12500,1
31,0,9,3,28000,1
20,0,8,3,8400,0
33,1,11,1,18500,0
47,0,7,1,155100,1
19,1,10,1,0,0
33,1,5,1,4600,0
66,1,13,4,4600,1
23,0,11,1,66000,0
51,1,9,1,9600,0
23,0,13,1,23500,0
47,1,13,1,63000,1
48,1,8,3,13000,1
43,1,11,1,8000,1
31,0,10,3,10400,0
47,1,3,3,10200,1
74,0,11,1,24400,0
93,1,1,2,6000,0
55,1,11,1,12800,0
29,1,9,3,24000,0
33,0,11,3,119000,1
50,0,2,3,18000,1
28,0,11,2,8100,1
29,1,13,1,38000,0
38,1,10,1,35000,1
42,0,9,3,50900,1
50,1,10,1,22640,0
77,0,4,3,12400,1
37,1,3,3,0,1
40,0,11,1,40000,0
30,0,6,3,40000,1
19,1,11,1,7000,0
50,1,9,3,60000,0
82,1,9,3,690,0
22,1,9,3,21000,0
63,0,12,1,94100,1
48,1,12,1,6800,0
46,0,15,1,52000,1
45,1,9,3,0,0
37,1,10,3,10800,0
76,0,13,4,680,0
25,0,9,1,0,0
40,1,10,3,33000,1
34,0,9,3,22500,1
56,1,13,4,2000,1
43,1,11,3,25000,1
42,0,14,1,115370,1
22,1,11,1,0,1
45,1,11,1,38580,0
32,1,3,3,16000,1
23,0,11,3,5600,1
19,0,10,2,14000,0
52,1,9,1,109000,0
44,1,13,4,27000,1
43,0,13,4,51800,0
34,1,13,4,0,1
32,1,13,1,28030,0
38,0,10,1,11200,0
40,1,10,1,62700,1
82,0,14,1,20000,1
31,1,9,2,23000,0
42,1,9,1,3000,1
47,0,1,2,220,0
66,0,16,1,120000,1
30,0,9,4,30000,0
42,1,10,3,28000,0
50,1,11,1,48700,1
26,1,10,1,11000,1
53,0,9,3,6000,0
22,0,8,4,7000,1
28,1,2,3,0,1
25,0,6,3,22000,1
30,1,11,3,20000,1
86,1,9,1,12020,1
33,0,12,3,33000,0
62,1,11,2,4900,0
23,1,12,3,0,0
36,0,12,1,60000,1
84,1,9,1,5600,1
29,0,6,1,28000,0
29,0,11,1,91000,1
18,1,8,2,0,0
44,1,13,3,27000,1
61,0,9,1,15800,1
72,1,13,1,21600,1
59,0,13,1,30000,1
33,0,13,4,92000,1
51,0,13,1,181000,1
35,1,15,1,80000,1
47,1,13,1,75800,0
50,0,16,4,90000,1
30,1,11,1,0,0
31,1,8,2,0,1
30,0,13,4,62300,1
77,1,10,1,0,1
59,0,1,1,30000,1
22,1,13,1,4800,0
66,1,12,1,17000,0
49,1,11,3,36000,0
44,1,13,1,25000,1
18,0,7,1,4000,0
35,0,12,3,27000,0
38,1,3,3,6200,1
55,1,9,1,25800,0
32,0,11,2,33500,0
29,0,9,1,40000,1
36,1,9,2,0,0
21,0,11,1,16000,0
43,1,13,3,1330,1
81,0,9,4,21600,1
45,1,12,1,32000,1
37,1,8,3,24000,0
41,1,9,1,31000,1
46,0,9,1,0,0
29,1,14,4,37100,1
40,1,9,1,5800,1
24,1,5,3,3500,0
63,1,12,1,86000,1
61,0,1,3,14400,1
43,1,12,1,22600,1
86,1,13,1,37100,0
38,0,14,4,72000,1
75,0,3,2,8000,0
32,0,13,1,110300,0
63,1,10,1,13100,0
27,0,11,3,26000,0
64,0,13,1,125200,1
71,1,4,1,11900,1
54,1,11,1,2460,1
57,1,14,1,47500,1
56,1,12,1,13900,1
31,0,15,2,40220,0
53,0,12,1,40000,1
29,1,9,1,0,1
18,0,7,4,5400,0
27,1,3,3,3000,1
67,1,1,3,9800,0
75,0,13,1,44600,1
27,0,8,1,40000,0
37,0,13,3,56150,1
77,1,10,1,14200,0
38,1,13,1,15000,0
51,1,12,1,30000,1
23,1,11,3,10210,1
34,0,1,3,6000,1
39,1,14,3,52000,1
53,1,6,1,0,0
30,1,10,1,27000,1
39,1,8,3,29700,0
40,0,13,1,11000,0
43,0,14,1,56000,1
34,1,15,4,77000,0
72,0,6,1,13800,1
73,0,11,1,48300,1
77,1,9,1,11000,0
43,1,13,1,26180,1
31,1,5,3,5200,1
36,0,12,1,80000,0
61,0,12,1,69000,1
74,0,11,1,73700,1
38,1,13,1,40000,1
45,1,15,2,90000,1
32,1,12,4,26800,1
55,0,11,1,50000,1
51,1,12,1,0,1
47,1,13,1,0,1
42,1,9,4,0,1
30,0,16,1,61200,0
36,1,13,1,55000,0
42,1,13,1,3000,1
65,1,9,1,5200,1
51,0,13,1,56000,1
70,1,3,3,18900,1
57,1,11,1,62700,1
48,0,2,4,10000,1
69,1,13,1,4300,1
76,0,9,1,10100,1
46,0,9,1,9500,0
35,0,9,3,1400,1
72,0,9,1,180000,1
18,1,9,3,4000,0
40,1,13,1,0,1
33,1,13,1,72000,1
46,0,13,1,45000,1
51,1,12,1,14030,0
48,0,11,4,20040,1
30,0,9,1,9000,0
28,1,4,3,0,1
40,1,14,1,940,1
18,1,7,1,0,0
37,0,11,1,68000,1
41,0,11,1,41000,0
93,1,9,1,19200,1
52,1,12,1,23000,1
43,0,3,3,13000,0
35,1,11,1,8400,1
34,0,9,1,45000,1
66,0,11,3,12000,0
86,1,9,1,23800,0
42,1,12,2,0,0
73,1,11,2,16000,0
19,1,9,3,0,0
37,0,4,3,52000,1
85,0,11,1,119700,1
40,1,3,3,0,1
73,0,15,1,115000,1
78,1,13,4,29300,1
62,1,14,1,325000,1
48,0,9,3,41600,0
75,1,8,1,19000,0
71,1,9,1,39300,0
29,0,11,6,0,0
30,0,12,1,36420,1
74,1,5,4,0,0
53,1,10,2,0,1
19,1,7,3,2200,0
31,0,7,1,0,1
41,1,9,1,24620,1
49,1,6,3,0,0
38,0,12,3,40000,1
35,1,11,4,71000,1
45,0,10,1,49000,0
42,0,14,1,42500,1
28,0,9,1,0,0
32,1,1,4,9530,0
48,1,14,1,27900,0
27,1,14,1,24020,0
44,0,13,4,46300,1
75,1,9,1,18800,0
52,0,12,1,168000,1
39,1,12,1,39000,0
60,0,13,4,167000,1
34,1,13,3,73000,1
50,0,12,1,58200,0
47,1,1,3,7530,1
48,0,13,1,140500,1
68,0,13,1,31800,1
30,0,8,1,50000,1
67,0,13,1,57200,1
29,1,5,3,1800,1
40,1,11,5,56000,0
84,0,13,1,32100,1
67,0,4,2,13500,1
74,0,12,1,13000,0
72,1,2,3,8200,0
72,1,9,4,17100,1
82,1,13,1,8400,1
24,0,5,3,10000,0
54,1,10,1,35000,1
67,0,6,1,7000,1
18,0,11,4,2200,0
40,0,11,2,30000,1
70,1,9,1,4800,1
73,0,13,1,7200,1
41,1,14,1,15400,1
68,0,14,1,44000,1
82,0,15,1,138300,1
20,1,3,3,0,0
31,1,14,1,34000,0
27,0,9,3,44500,0
70,1,9,1,7000,1
49,0,15,1,54000,1
62,1,10,3,70000,1
53,0,9,1,16940,0
40,0,4,3,0,1
80,0,8,1,28900,1
36,0,11,4,0,0
29,0,2,3,28900,1
38,1,11,3,0,1
65,1,13,1,0,0
20,1,9,3,13000,0
40,1,8,3,10500,1
42,0,13,1,382000,1
36,1,5,3,20300,1
37,0,11,1,52000,1
25,1,9,2,0,0
74,1,9,1,7200,1
40,0,9,1,38000,0
48,1,4,4,13500,0
44,0,14,1,138100,0
40,1,10,3,15000,1
23,0,11,1,0,0
66,1,5,2,0,1
47,0,13,1,35300,0
58,0,10,1,80000,0
42,1,9,1,3500,1
26,0,9,1,24000,0
32,1,8,3,0,1
36,0,14,3,61900,1
22,1,11,1,10600,0
23,1,12,4,4000,1
46,1,12,1,8400,0
23,0,8,3,23500,0
71,0,15,1,42000,1
55,1,9,4,10000,1
34,1,3,3,0,1
49,0,13,1,12000,0
42,1,11,2,0,0
71,0,1,3,9100,1
28,1,13,3,28000,1
23,1,12,2,14400,0
18,1,9,3,0,0
48,0,10,1,60000,1
65,0,12,1,22800,0
44,1,1,3,18000,0
52,1,13,1,42800,0
65,0,6,1,22300,0
20,1,9,1,5900,0
27,1,13,1,5450,1
36,1,16,4,0,1
88,1,11,1,0,1
84,1,1,4,10500,0
41,0,13,1,36000,1
35,0,9,1,30000,1
30,1,11,1,38700,1
23,1,13,4,10700,1
23,0,6,3,6100,0
51,1,16,1,118000,0
27,1,13,1,41600,0
47,1,13,1,0,1
71,1,9,1,8000,1
78,1,1,3,9300,0
44,1,12,1,4930,1
50,1,9,4,1200,1
38,0,2,3,16000,1
25,0,11,1,0,0
43,0,13,4,25000,1
20,0,11,4,4200,0
66,1,9,1,3200,0
26,0,13,3,28000,0
62,0,13,1,70000,1
45,1,11,1,69200,0
38,1,8,2,1000,1
51,1,7,1,7200,0
21,0,13,1,5000,0
42,1,13,1,2500,0
20,0,10,4,35400,0
51,1,9,1,4200,0
22,1,11,3,19400,0
65,0,6,3,18500,0
38,0,9,1,1e+05,1
33,1,9,3,11000,1
27,1,12,3,38000,0
58,0,9,1,99000,1
73,0,1,3,7200,0
19,0,11,3,7000,0
24,1,13,4,100,0
30,1,11,1,20200,1
37,0,13,1,55000,1
51,0,1,3,56300,1
45,0,9,1,36000,0
81,1,14,1,6000,0
61,0,13,1,95300,1
30,1,12,4,10284,0
58,1,9,1,37000,0
58,0,12,2,46050,1
46,0,4,3,23100,0
47,1,2,3,19000,1
23,0,10,2,1500,0
36,0,8,3,0,1
82,0,9,1,20700,1
20,1,11,2,8600,0
22,1,9,3,0,0
67,0,14,1,90300,1
22,0,13,3,15600,0
79,0,6,3,54600,1
18,0,8,4,0,0
48,1,14,1,39000,0
32,0,9,3,20000,0
35,0,9,1,13000,0
49,1,11,1,30000,1
46,0,11,1,13500,1
28,0,11,3,10000,0
50,0,8,3,17900,1
28,1,9,2,8400,0
87,1,4,1,8000,1
49,0,8,1,30300,1
23,1,6,4,4000,0
40,1,3,3,20000,1
26,1,9,3,38600,0
48,1,9,2,0,0
82,1,3,2,9900,0
78,0,5,2,0,0
34,1,8,1,25000,1
36,1,13,4,67000,0
19,1,9,3,3000,0
31,1,3,3,0,1
34,0,9,1,14000,1
19,0,5,3,0,0
33,0,13,1,109000,0
93,1,2,3,10000,0
30,1,16,1,14600,0
42,1,6,2,0,1
31,0,3,3,16300,1
23,0,13,1,28000,1
62,1,12,1,51350,1
59,1,2,1,0,1
88,1,12,1,18500,1
37,0,12,1,25900,0
32,1,13,1,47800,0
42,0,9,1,17700,1
40,0,13,1,700,0
64,0,9,1,16000,1
31,1,14,1,35000,0
30,0,11,4,36500,1
69,0,10,1,23500,1
53,0,12,3,76800,1
51,1,9,1,52120,0
27,0,7,3,17000,0
29,1,12,4,38000,1
28,1,11,4,9000,1
42,1,12,3,13300,1
34,0,9,3,60100,1
37,0,14,1,95000,1
31,1,9,3,2000,1
36,0,9,1,64000,1
44,1,1,3,0,1
53,0,11,1,38000,0
23,1,9,1,9000,0
37,0,10,4,54300,1
29,1,8,3,5000,1
38,0,13,1,90580,1
57,1,5,1,5100,1
27,0,8,1,22000,0
86,1,9,1,8700,0
75,0,8,1,7400,0
37,1,12,4,13100,1
23,0,8,1,30000,0
63,0,13,2,50000,1
26,1,11,1,0,1
51,0,13,1,325000,1
42,0,9,1,64000,1
43,1,13,1,0,1
51,0,14,1,103000,1
69,0,11,1,90300,1
52,0,10,1,60000,0
74,0,13,1,21100,1
22,0,12,1,31000,1
43,1,9,1,8610,0
56,0,11,2,44200,0
31,1,9,3,4600,0
38,0,9,3,7200,0
89,1,13,1,7000,0
62,1,12,1,10800,1
75,1,11,1,8200,1
34,1,12,1,10000,1
35,0,2,3,32000,1
35,0,13,1,60000,0
45,1,9,4,0,1
19,0,6,3,19000,1
32,0,8,1,40000,1
47,1,11,1,65000,0
72,1,9,1,3600,1
49,0,14,1,132000,0
48,0,11,4,49000,0
32,0,14,1,66200,0
28,0,11,3,13000,1
20,0,11,1,1600,0
57,0,16,1,123000,1
18,0,10,2,2400,0
35,0,12,3,27000,1
45,0,13,4,80000,1
72,0,8,1,14000,1
54,0,12,1,125700,1
39,1,10,3,80000,0
40,1,9,1,0,1
63,1,1,3,3030,0
19,1,10,1,2100,0
40,1,12,3,17100,0
59,1,12,1,13000,0
42,0,13,1,33400,1
42,0,9,2,0,1
38,1,16,1,60000,0
61,0,9,1,38000,1
55,1,11,3,12600,0
54,1,13,3,3200,0
80,0,14,1,41300,1
46,0,12,4,50000,1
79,1,13,1,31900,1
46,0,13,6,140000,1
28,1,9,1,12000,0
38,1,11,1,29900,0
