algorithm,view,objective_kind,objective_sum,objective_avg,elapsed_s,ari,nmi,rho,centers_nnz_mean,core_jaccard,extra,status,error,run,n,d,k,epsilon,delta,seed
opendp_pe_means,sparse,hamming,9128541.0,182.57082,65.71653029200388,0.18371303645727594,0.22531158201936266,0.1,96.0,0.015912320058092167,"{""__opendp_dict__"": {""__function__"": ""measurement_invoke"", ""__kwargs__"": {""arg"": ""<Compressed Sparse Row sparse matrix of dtype 'float32'\n\twith 4474327 stored elements and shape (50000, 75688)>\n  Coords\tValues\n  (0, 11)\t1.0\n  (0, 447)\t1.0\n  (0, 704)\t1.0\n  (0, 2558)\t1.0\n  (0, 2938)\t1.0\n  (0, 2979)\t1.0\n  (0, 4843)\t1.0\n  (0, 10089)\t1.0\n  (0, 10209)\t1.0\n  (0, 10332)\t1.0\n  (0, 10416)\t1.0\n  (0, 11982)\t1.0\n  (0, 12749)\t1.0\n  (0, 14863)\t1.0\n  (0, 15212)\t1.0\n  (0, 15539)\t1.0\n  (0, 17362)\t1.0\n  (0, 17474)\t1.0\n  (0, 17871)\t1.0\n  (0, 18736)\t1.0\n  (0, 18810)\t1.0\n  (0, 19733)\t1.0\n  (0, 20242)\t1.0\n  (0, 22084)\t1.0\n  (0, 22516)\t1.0\n  :\t:\n  (49999, 50814)\t1.0\n  (49999, 52501)\t1.0\n  (49999, 52824)\t1.0\n  (49999, 54736)\t1.0\n  (49999, 57647)\t1.0\n  (49999, 58426)\t1.0\n  (49999, 60487)\t1.0\n  (49999, 60936)\t1.0\n  (49999, 61135)\t1.0\n  (49999, 61809)\t1.0\n  (49999, 62763)\t1.0\n  (49999, 63039)\t1.0\n  (49999, 64702)\t1.0\n  (49999, 67054)\t1.0\n  (49999, 67316)\t1.0\n  (49999, 68429)\t1.0\n  (49999, 68524)\t1.0\n  (49999, 68559)\t1.0\n  (49999, 68981)\t1.0\n  (49999, 70539)\t1.0\n  (49999, 70662)\t1.0\n  (49999, 71029)\t1.0\n  (49999, 71644)\t1.0\n  (49999, 72498)\t1.0\n  (49999, 73567)\t1.0"", ""this"": ""Measurement(\n    input_domain   = SparseBinaryMatrix(n_features=75688,max_active=160),\n    input_metric   = SymmetricDistance(),\n    output_measure = ZeroConcentratedDivergence)""}, ""__module__"": ""core""}, ""accountant"": ""zcdp"", ""backend_used"": ""opendp"", ""candidate_weight_threshold"": 8.944271909999161, ""centers"": ""<Compressed Sparse Row sparse matrix of dtype 'float32'\n\twith 1536 stored elements and shape (16, 75688)>\n  Coords\tValues\n  (0, 721)\t1.0\n  (0, 4147)\t1.0\n  (0, 4599)\t1.0\n  (0, 5052)\t1.0\n  (0, 5838)\t1.0\n  (0, 6096)\t1.0\n  (0, 7756)\t1.0\n  (0, 8285)\t1.0\n  (0, 8762)\t1.0\n  (0, 9561)\t1.0\n  (0, 10842)\t1.0\n  (0, 10942)\t1.0\n  (0, 11546)\t1.0\n  (0, 12404)\t1.0\n  (0, 13315)\t1.0\n  (0, 15785)\t1.0\n  (0, 16346)\t1.0\n  (0, 16509)\t1.0\n  (0, 16943)\t1.0\n  (0, 17074)\t1.0\n  (0, 17165)\t1.0\n  (0, 18984)\t1.0\n  (0, 19286)\t1.0\n  (0, 20001)\t1.0\n  (0, 22283)\t1.0\n  :\t:\n  (15, 54898)\t1.0\n  (15, 54913)\t1.0\n  (15, 55325)\t1.0\n  (15, 57616)\t1.0\n  (15, 57861)\t1.0\n  (15, 59376)\t1.0\n  (15, 60282)\t1.0\n  (15, 61460)\t1.0\n  (15, 62423)\t1.0\n  (15, 62713)\t1.0\n  (15, 63228)\t1.0\n  (15, 64208)\t1.0\n  (15, 65408)\t1.0\n  (15, 65876)\t1.0\n  (15, 66952)\t1.0\n  (15, 67838)\t1.0\n  (15, 69240)\t1.0\n  (15, 70593)\t1.0\n  (15, 71134)\t1.0\n  (15, 71824)\t1.0\n  (15, 72103)\t1.0\n  (15, 72195)\t1.0\n  (15, 72820)\t1.0\n  (15, 73776)\t1.0\n  (15, 75361)\t1.0"", ""centers_nnz_mean"": 96.0, ""distance"": ""weighted_jaccard"", ""iterations"": 16, ""last_candidate_positive_noisy_buckets"": 499, ""last_candidate_weight_sum"": 45556.80831691042, ""mean_best_core_jaccard"": 0.015912320058092167, ""mean_best_core_precision"": 0.03515625, ""mean_best_core_recall"": 0.02790547520661157, ""population_size"": 512, ""rho_step"": 0.00625, ""rho_total"": 0.1, ""scale"": 8.944271909999161, ""vote_noise_scale"": 8.94427190999916}",ok,,0,50000,75688,16,2.4507880004767997,1e-06,20260713
google_lsh,dense,kmeans,48874.16405298161,0.9774832810596321,1.1646892079734243,0.06544783468669597,0.12482530369550951,0.1,,,"{""max_depth"": null, ""radius"": 1.0}",ok,,0,50000,75688,16,2.4507880004767997,1e-06,20260713
dp_spherical_lloyd,sparse,hamming,7415713.0,148.31426,0.4975129159865901,0.9011545459284436,0.9290431783720049,0.1,96.0,0.5994901176438681,"{""accountant"": ""zcdp"", ""backend_used"": ""opendp"", ""center_active_tags"": 96, ""centers_nnz_mean"": 96.0, ""clip_active_tags"": 128, ""iterations"": 5, ""mean_best_core_jaccard"": 0.5994901176438681, ""mean_best_core_precision"": 0.7734375, ""mean_best_core_recall"": 0.6144628099173555, ""n_releases"": 5, ""per_release_l2_sensitivity"": 11.313708498984761, ""rho_step"": 0.019999999999999997, ""rho_total"": 0.09999999999999999, ""vote_noise_scale"": 56.568542494923804}",ok,,0,50000,75688,16,2.4507880004767997,1e-06,20260713
opendp_pe_means,sparse,hamming,9138329.0,182.76658,65.6587162920041,0.12349597607200874,0.1825284038240055,0.5,96.0,0.01526774948597814,"{""__opendp_dict__"": {""__function__"": ""measurement_invoke"", ""__kwargs__"": {""arg"": ""<Compressed Sparse Row sparse matrix of dtype 'float32'\n\twith 4474327 stored elements and shape (50000, 75688)>\n  Coords\tValues\n  (0, 11)\t1.0\n  (0, 447)\t1.0\n  (0, 704)\t1.0\n  (0, 2558)\t1.0\n  (0, 2938)\t1.0\n  (0, 2979)\t1.0\n  (0, 4843)\t1.0\n  (0, 10089)\t1.0\n  (0, 10209)\t1.0\n  (0, 10332)\t1.0\n  (0, 10416)\t1.0\n  (0, 11982)\t1.0\n  (0, 12749)\t1.0\n  (0, 14863)\t1.0\n  (0, 15212)\t1.0\n  (0, 15539)\t1.0\n  (0, 17362)\t1.0\n  (0, 17474)\t1.0\n  (0, 17871)\t1.0\n  (0, 18736)\t1.0\n  (0, 18810)\t1.0\n  (0, 19733)\t1.0\n  (0, 20242)\t1.0\n  (0, 22084)\t1.0\n  (0, 22516)\t1.0\n  :\t:\n  (49999, 50814)\t1.0\n  (49999, 52501)\t1.0\n  (49999, 52824)\t1.0\n  (49999, 54736)\t1.0\n  (49999, 57647)\t1.0\n  (49999, 58426)\t1.0\n  (49999, 60487)\t1.0\n  (49999, 60936)\t1.0\n  (49999, 61135)\t1.0\n  (49999, 61809)\t1.0\n  (49999, 62763)\t1.0\n  (49999, 63039)\t1.0\n  (49999, 64702)\t1.0\n  (49999, 67054)\t1.0\n  (49999, 67316)\t1.0\n  (49999, 68429)\t1.0\n  (49999, 68524)\t1.0\n  (49999, 68559)\t1.0\n  (49999, 68981)\t1.0\n  (49999, 70539)\t1.0\n  (49999, 70662)\t1.0\n  (49999, 71029)\t1.0\n  (49999, 71644)\t1.0\n  (49999, 72498)\t1.0\n  (49999, 73567)\t1.0"", ""this"": ""Measurement(\n    input_domain   = SparseBinaryMatrix(n_features=75688,max_active=160),\n    input_metric   = SymmetricDistance(),\n    output_measure = ZeroConcentratedDivergence)""}, ""__module__"": ""core""}, ""accountant"": ""zcdp"", ""backend_used"": ""opendp"", ""candidate_weight_threshold"": 4.000000000000001, ""centers"": ""<Compressed Sparse Row sparse matrix of dtype 'float32'\n\twith 1536 stored elements and shape (16, 75688)>\n  Coords\tValues\n  (0, 262)\t1.0\n  (0, 481)\t1.0\n  (0, 606)\t1.0\n  (0, 1465)\t1.0\n  (0, 1563)\t1.0\n  (0, 2247)\t1.0\n  (0, 3569)\t1.0\n  (0, 4188)\t1.0\n  (0, 5067)\t1.0\n  (0, 5785)\t1.0\n  (0, 7037)\t1.0\n  (0, 8246)\t1.0\n  (0, 9028)\t1.0\n  (0, 9358)\t1.0\n  (0, 9457)\t1.0\n  (0, 11067)\t1.0\n  (0, 11376)\t1.0\n  (0, 11656)\t1.0\n  (0, 13127)\t1.0\n  (0, 13196)\t1.0\n  (0, 16572)\t1.0\n  (0, 16579)\t1.0\n  (0, 16970)\t1.0\n  (0, 17435)\t1.0\n  (0, 17695)\t1.0\n  :\t:\n  (15, 59376)\t1.0\n  (15, 59459)\t1.0\n  (15, 60283)\t1.0\n  (15, 60557)\t1.0\n  (15, 60943)\t1.0\n  (15, 61486)\t1.0\n  (15, 62290)\t1.0\n  (15, 62407)\t1.0\n  (15, 64523)\t1.0\n  (15, 64912)\t1.0\n  (15, 65046)\t1.0\n  (15, 65370)\t1.0\n  (15, 65670)\t1.0\n  (15, 66132)\t1.0\n  (15, 67870)\t1.0\n  (15, 69246)\t1.0\n  (15, 69437)\t1.0\n  (15, 69705)\t1.0\n  (15, 70709)\t1.0\n  (15, 72141)\t1.0\n  (15, 72819)\t1.0\n  (15, 73443)\t1.0\n  (15, 74421)\t1.0\n  (15, 74495)\t1.0\n  (15, 75122)\t1.0"", ""centers_nnz_mean"": 96.0, ""distance"": ""weighted_jaccard"", ""iterations"": 16, ""last_candidate_positive_noisy_buckets"": 500, ""last_candidate_weight_sum"": 47983.0, ""mean_best_core_jaccard"": 0.01526774948597814, ""mean_best_core_precision"": 0.033854166666666664, ""mean_best_core_recall"": 0.0268767217630854, ""population_size"": 512, ""rho_step"": 0.03125, ""rho_total"": 0.5, ""scale"": 4.000000000000001, ""vote_noise_scale"": 4.0}",ok,,0,50000,75688,16,5.756521769756932,1e-06,20260713
google_lsh,dense,kmeans,48846.74560690048,0.9769349121380095,1.7682776249712333,0.07187181755752059,0.13792450316407678,0.5,,,"{""max_depth"": null, ""radius"": 1.0}",ok,,0,50000,75688,16,5.756521769756932,1e-06,20260713
dp_spherical_lloyd,sparse,hamming,7443937.0,148.87874,0.5101622079964727,0.6622578828307429,0.8375623476870071,0.5,96.0,0.7509772701487721,"{""accountant"": ""zcdp"", ""backend_used"": ""opendp"", ""center_active_tags"": 96, ""centers_nnz_mean"": 96.0, ""clip_active_tags"": 128, ""iterations"": 5, ""mean_best_core_jaccard"": 0.7509772701487721, ""mean_best_core_precision"": 0.9622395833333334, ""mean_best_core_recall"": 0.7638429752066116, ""n_releases"": 5, ""per_release_l2_sensitivity"": 11.313708498984761, ""rho_step"": 0.09999999999999998, ""rho_total"": 0.4999999999999999, ""vote_noise_scale"": 25.298221281347036}",ok,,0,50000,75688,16,5.756521769756932,1e-06,20260713
opendp_pe_means,sparse,hamming,9154369.0,183.08738,64.47210537502542,0.09629842741565982,0.1631766399158069,0.1,96.0,0.012566932058260188,"{""__opendp_dict__"": {""__function__"": ""measurement_invoke"", ""__kwargs__"": {""arg"": ""<Compressed Sparse Row sparse matrix of dtype 'float32'\n\twith 4479813 stored elements and shape (50000, 75688)>\n  Coords\tValues\n  (0, 270)\t1.0\n  (0, 2355)\t1.0\n  (0, 4538)\t1.0\n  (0, 4940)\t1.0\n  (0, 5224)\t1.0\n  (0, 7891)\t1.0\n  (0, 8466)\t1.0\n  (0, 9247)\t1.0\n  (0, 11659)\t1.0\n  (0, 11690)\t1.0\n  (0, 14297)\t1.0\n  (0, 16417)\t1.0\n  (0, 16567)\t1.0\n  (0, 16834)\t1.0\n  (0, 18931)\t1.0\n  (0, 19046)\t1.0\n  (0, 19299)\t1.0\n  (0, 19682)\t1.0\n  (0, 21582)\t1.0\n  (0, 21619)\t1.0\n  (0, 22264)\t1.0\n  (0, 23235)\t1.0\n  (0, 25502)\t1.0\n  (0, 25631)\t1.0\n  (0, 26164)\t1.0\n  :\t:\n  (49999, 52421)\t1.0\n  (49999, 52878)\t1.0\n  (49999, 54713)\t1.0\n  (49999, 54762)\t1.0\n  (49999, 55946)\t1.0\n  (49999, 56808)\t1.0\n  (49999, 57135)\t1.0\n  (49999, 57159)\t1.0\n  (49999, 58034)\t1.0\n  (49999, 58818)\t1.0\n  (49999, 60360)\t1.0\n  (49999, 61184)\t1.0\n  (49999, 61980)\t1.0\n  (49999, 62358)\t1.0\n  (49999, 62766)\t1.0\n  (49999, 63013)\t1.0\n  (49999, 63330)\t1.0\n  (49999, 64713)\t1.0\n  (49999, 64848)\t1.0\n  (49999, 68849)\t1.0\n  (49999, 71425)\t1.0\n  (49999, 72291)\t1.0\n  (49999, 74103)\t1.0\n  (49999, 74673)\t1.0\n  (49999, 75370)\t1.0"", ""this"": ""Measurement(\n    input_domain   = SparseBinaryMatrix(n_features=75688,max_active=160),\n    input_metric   = SymmetricDistance(),\n    output_measure = ZeroConcentratedDivergence)""}, ""__module__"": ""core""}, ""accountant"": ""zcdp"", ""backend_used"": ""opendp"", ""candidate_weight_threshold"": 8.944271909999161, ""centers"": ""<Compressed Sparse Row sparse matrix of dtype 'float32'\n\twith 1536 stored elements and shape (16, 75688)>\n  Coords\tValues\n  (0, 1147)\t1.0\n  (0, 1582)\t1.0\n  (0, 2695)\t1.0\n  (0, 3045)\t1.0\n  (0, 3897)\t1.0\n  (0, 5460)\t1.0\n  (0, 7290)\t1.0\n  (0, 8313)\t1.0\n  (0, 9054)\t1.0\n  (0, 11766)\t1.0\n  (0, 11867)\t1.0\n  (0, 11919)\t1.0\n  (0, 13352)\t1.0\n  (0, 13477)\t1.0\n  (0, 13959)\t1.0\n  (0, 14420)\t1.0\n  (0, 14886)\t1.0\n  (0, 15448)\t1.0\n  (0, 15466)\t1.0\n  (0, 15759)\t1.0\n  (0, 19448)\t1.0\n  (0, 20355)\t1.0\n  (0, 21006)\t1.0\n  (0, 23088)\t1.0\n  (0, 23111)\t1.0\n  :\t:\n  (15, 58177)\t1.0\n  (15, 59496)\t1.0\n  (15, 60829)\t1.0\n  (15, 62368)\t1.0\n  (15, 64076)\t1.0\n  (15, 64373)\t1.0\n  (15, 65192)\t1.0\n  (15, 66888)\t1.0\n  (15, 67777)\t1.0\n  (15, 69340)\t1.0\n  (15, 69373)\t1.0\n  (15, 69882)\t1.0\n  (15, 69959)\t1.0\n  (15, 71260)\t1.0\n  (15, 71284)\t1.0\n  (15, 73017)\t1.0\n  (15, 73318)\t1.0\n  (15, 74356)\t1.0\n  (15, 74428)\t1.0\n  (15, 74591)\t1.0\n  (15, 74661)\t1.0\n  (15, 74917)\t1.0\n  (15, 74928)\t1.0\n  (15, 75069)\t1.0\n  (15, 75355)\t1.0"", ""centers_nnz_mean"": 96.0, ""distance"": ""weighted_jaccard"", ""iterations"": 16, ""last_candidate_positive_noisy_buckets"": 498, ""last_candidate_weight_sum"": 45644.75258882042, ""mean_best_core_jaccard"": 0.012566932058260188, ""mean_best_core_precision"": 0.027994791666666664, ""mean_best_core_recall"": 0.022210743801652895, ""population_size"": 512, ""rho_step"": 0.00625, ""rho_total"": 0.1, ""scale"": 8.944271909999161, ""vote_noise_scale"": 8.94427190999916}",ok,,1,50000,75688,16,2.4507880004767997,1e-06,20260714
google_lsh,dense,kmeans,48881.43286475636,0.9776286572951272,1.0525899999774992,0.1134303782100933,0.1735592383960601,0.1,,,"{""max_depth"": null, ""radius"": 1.0}",ok,,1,50000,75688,16,2.4507880004767997,1e-06,20260714
dp_spherical_lloyd,sparse,hamming,7390543.0,147.81086,0.511179708992131,0.7848192142942105,0.8774999036578629,0.1,96.0,0.6778415037169001,"{""accountant"": ""zcdp"", ""backend_used"": ""opendp"", ""center_active_tags"": 96, ""centers_nnz_mean"": 96.0, ""clip_active_tags"": 128, ""iterations"": 5, ""mean_best_core_jaccard"": 0.6778415037169001, ""mean_best_core_precision"": 0.8626302083333334, ""mean_best_core_recall"": 0.684400826446281, ""n_releases"": 5, ""per_release_l2_sensitivity"": 11.313708498984761, ""rho_step"": 0.019999999999999997, ""rho_total"": 0.09999999999999999, ""vote_noise_scale"": 56.568542494923804}",ok,,1,50000,75688,16,2.4507880004767997,1e-06,20260714
opendp_pe_means,sparse,hamming,7655891.0,153.11782,64.56771954201395,0.13939002811573994,0.20984622145467716,0.5,94.0,0.016708480051575565,"{""__opendp_dict__"": {""__function__"": ""measurement_invoke"", ""__kwargs__"": {""arg"": ""<Compressed Sparse Row sparse matrix of dtype 'float32'\n\twith 4479813 stored elements and shape (50000, 75688)>\n  Coords\tValues\n  (0, 270)\t1.0\n  (0, 2355)\t1.0\n  (0, 4538)\t1.0\n  (0, 4940)\t1.0\n  (0, 5224)\t1.0\n  (0, 7891)\t1.0\n  (0, 8466)\t1.0\n  (0, 9247)\t1.0\n  (0, 11659)\t1.0\n  (0, 11690)\t1.0\n  (0, 14297)\t1.0\n  (0, 16417)\t1.0\n  (0, 16567)\t1.0\n  (0, 16834)\t1.0\n  (0, 18931)\t1.0\n  (0, 19046)\t1.0\n  (0, 19299)\t1.0\n  (0, 19682)\t1.0\n  (0, 21582)\t1.0\n  (0, 21619)\t1.0\n  (0, 22264)\t1.0\n  (0, 23235)\t1.0\n  (0, 25502)\t1.0\n  (0, 25631)\t1.0\n  (0, 26164)\t1.0\n  :\t:\n  (49999, 52421)\t1.0\n  (49999, 52878)\t1.0\n  (49999, 54713)\t1.0\n  (49999, 54762)\t1.0\n  (49999, 55946)\t1.0\n  (49999, 56808)\t1.0\n  (49999, 57135)\t1.0\n  (49999, 57159)\t1.0\n  (49999, 58034)\t1.0\n  (49999, 58818)\t1.0\n  (49999, 60360)\t1.0\n  (49999, 61184)\t1.0\n  (49999, 61980)\t1.0\n  (49999, 62358)\t1.0\n  (49999, 62766)\t1.0\n  (49999, 63013)\t1.0\n  (49999, 63330)\t1.0\n  (49999, 64713)\t1.0\n  (49999, 64848)\t1.0\n  (49999, 68849)\t1.0\n  (49999, 71425)\t1.0\n  (49999, 72291)\t1.0\n  (49999, 74103)\t1.0\n  (49999, 74673)\t1.0\n  (49999, 75370)\t1.0"", ""this"": ""Measurement(\n    input_domain   = SparseBinaryMatrix(n_features=75688,max_active=160),\n    input_metric   = SymmetricDistance(),\n    output_measure = ZeroConcentratedDivergence)""}, ""__module__"": ""core""}, ""accountant"": ""zcdp"", ""backend_used"": ""opendp"", ""candidate_weight_threshold"": 4.000000000000001, ""centers"": ""<Compressed Sparse Row sparse matrix of dtype 'float32'\n\twith 1504 stored elements and shape (16, 75688)>\n  Coords\tValues\n  (0, 245)\t1.0\n  (0, 399)\t1.0\n  (0, 1028)\t1.0\n  (0, 3004)\t1.0\n  (0, 3032)\t1.0\n  (0, 4397)\t1.0\n  (0, 4435)\t1.0\n  (0, 4542)\t1.0\n  (0, 4953)\t1.0\n  (0, 7108)\t1.0\n  (0, 7464)\t1.0\n  (0, 9888)\t1.0\n  (0, 10299)\t1.0\n  (0, 10737)\t1.0\n  (0, 11197)\t1.0\n  (0, 12993)\t1.0\n  (0, 14111)\t1.0\n  (0, 14457)\t1.0\n  (0, 15408)\t1.0\n  (0, 15754)\t1.0\n  (0, 15771)\t1.0\n  (0, 16259)\t1.0\n  (0, 16295)\t1.0\n  (0, 16364)\t1.0\n  (0, 18076)\t1.0\n  :\t:\n  (15, 57073)\t1.0\n  (15, 57184)\t1.0\n  (15, 57692)\t1.0\n  (15, 58681)\t1.0\n  (15, 58918)\t1.0\n  (15, 59656)\t1.0\n  (15, 60250)\t1.0\n  (15, 60450)\t1.0\n  (15, 61154)\t1.0\n  (15, 61719)\t1.0\n  (15, 61720)\t1.0\n  (15, 62090)\t1.0\n  (15, 63753)\t1.0\n  (15, 63769)\t1.0\n  (15, 63822)\t1.0\n  (15, 66265)\t1.0\n  (15, 66410)\t1.0\n  (15, 66574)\t1.0\n  (15, 67066)\t1.0\n  (15, 67933)\t1.0\n  (15, 70074)\t1.0\n  (15, 71258)\t1.0\n  (15, 73006)\t1.0\n  (15, 73201)\t1.0\n  (15, 73386)\t1.0"", ""centers_nnz_mean"": 94.0, ""distance"": ""weighted_jaccard"", ""iterations"": 16, ""last_candidate_positive_noisy_buckets"": 501, ""last_candidate_weight_sum"": 47995.0, ""mean_best_core_jaccard"": 0.016708480051575565, ""mean_best_core_precision"": 0.0380859375, ""mean_best_core_recall"": 0.028925619834710745, ""population_size"": 512, ""rho_step"": 0.03125, ""rho_total"": 0.5, ""scale"": 4.000000000000001, ""vote_noise_scale"": 4.0}",ok,,1,50000,75688,16,5.756521769756932,1e-06,20260714
