sex,age,educ,income,married,race
0,45,6,6000,1,1
1,41,8,13000,1,2
0,63,14,17810,1,1
1,71,15,3600,1,4
0,44,5,10000,0,1
1,49,1,0,0,4
0,37,11,30530,1,2
0,46,11,55000,0,1
1,44,9,10,1,1
1,78,11,18600,0,1
0,35,9,3900,1,2
0,43,9,0,1,1
0,44,2,63000,1,2
0,55,1,0,1,2
0,51,11,25060,0,1
1,27,1,0,0,2
1,64,10,18600,0,1
0,45,3,19000,1,2
0,22,10,7000,0,2
1,67,9,4000,0,1
0,30,8,4300,1,2
0,43,10,0,1,1
0,25,13,4500,0,1
1,45,13,42000,0,4
1,42,13,86000,1,1
1,39,9,21000,1,2
0,37,9,95000,1,1
0,50,13,50000,0,1
0,21,10,13500,0,2
1,74,11,0,1,1
0,21,9,23000,1,1
0,22,9,13000,1,2
0,56,9,74000,0,1
0,61,10,6100,1,1
0,51,11,10500,0,1
1,44,13,37000,0,3
0,18,9,19500,1,1
1,70,9,45800,0,1
0,53,7,43200,1,2
0,64,10,28900,1,1
0,72,13,90600,0,1
0,55,9,13900,1,4
0,25,9,16000,0,1
0,52,8,237000,1,4
1,56,13,35500,1,2
1,21,11,6000,0,2
0,89,3,14200,1,1
1,45,9,33000,0,1
1,33,9,1000,1,1
0,39,11,44800,1,1
0,30,11,26100,0,1
0,53,12,9000,1,1
0,27,12,81000,1,1
0,40,13,116400,1,1
0,55,13,12300,1,1
1,50,9,25000,1,1
0,44,3,152400,1,1
0,83,9,16700,1,1
1,18,7,3200,0,1
1,19,10,2000,0,3
0,44,15,48000,1,1
1,24,1,25000,0,4
1,40,10,10100,0,1
1,52,13,95400,0,1
0,49,9,700,1,1
1,37,11,27000,1,2
1,70,8,15100,0,1
1,26,14,28020,1,1
1,60,9,36600,1,1
1,51,16,73000,1,3
0,71,9,22500,1,1
0,54,11,21000,1,1
0,36,11,50000,1,1
1,30,9,104000,1,1
1,74,2,153800,0,4
1,35,11,0,1,1
0,78,1,8400,1,2
1,85,14,56000,0,1
1,58,15,35000,0,1
1,63,9,13900,1,1
0,25,14,31000,1,1
0,25,9,8000,0,2
1,60,9,19800,1,1
0,50,11,87000,1,1
0,57,12,70000,1,1
1,60,4,13000,0,3
0,31,9,56000,1,1
0,33,9,325100,1,1
0,85,9,0,1,1
0,46,11,0,1,1
1,47,9,8000,0,2
0,44,12,56280,1,1
0,77,14,16000,0,1
1,20,11,0,0,4
0,20,12,15000,0,1
1,18,11,0,0,3
1,69,8,6100,0,1
0,23,5,18000,1,2
1,20,6,0,1,2
0,64,9,68000,0,1
1,80,1,7200,1,2
1,31,11,59000,1,4
0,20,12,6000,0,3
0,35,10,70850,0,2
1,39,9,16000,0,1
0,34,4,11000,1,2
0,29,12,55000,0,1
1,21,13,0,0,4
1,45,12,0,1,1
1,27,9,4000,0,2
1,74,6,14400,0,1
0,25,13,7000,0,1
1,32,13,15500,1,2
1,24,10,30000,1,1
1,45,9,44400,1,1
0,18,9,0,0,1
0,50,11,40600,1,1
0,43,14,287000,1,1
1,47,10,30000,1,1
0,29,11,31000,1,2
1,69,6,12020,0,4
0,38,9,16400,0,3
1,56,13,100500,1,4
0,42,11,40000,0,1
1,32,9,10900,1,2
1,21,10,0,0,2
0,60,11,43200,1,1
1,63,14,29200,1,1
0,44,11,35000,0,2
0,56,5,26100,1,2
0,81,15,6400,1,1
1,36,11,27000,0,3
0,42,11,4400,1,1
0,32,9,42000,0,1
1,53,14,20300,1,4
1,41,10,380,0,1
1,39,10,0,1,4
1,44,10,34200,1,1
1,49,13,66000,0,1
0,65,14,32000,1,1
1,32,11,29000,0,1
1,71,11,40800,1,1
1,56,10,14600,1,1
1,40,12,0,1,1
1,42,11,0,1,2
0,19,10,0,0,4
1,46,4,1100,0,2
0,61,14,128000,1,1
1,29,13,20800,0,1
0,29,12,90000,1,1
1,54,13,34200,0,1
1,71,1,5900,1,2
1,74,5,22600,0,1
1,73,1,7200,1,2
0,28,10,9000,0,2
0,81,9,10800,1,1
0,47,15,46200,0,1
0,29,14,68000,0,4
1,37,10,40000,0,1
0,75,10,2000,1,2
1,36,13,46000,1,4
1,79,9,5700,0,1
1,36,13,55000,1,4
1,34,8,32000,0,2
0,37,3,19000,0,2
0,46,10,0,0,3
1,26,4,0,1,2
0,31,9,38000,1,1
0,64,4,16900,1,4
1,47,9,17700,1,1
1,42,9,0,1,1
1,70,2,9600,0,2
1,37,7,12000,1,2
0,41,15,38000,0,1
1,51,4,520,0,2
1,41,3,0,1,2
0,23,5,0,0,2
1,29,12,0,1,1
0,47,13,451000,1,1
1,37,11,17000,0,1
0,39,9,0,0,1
1,50,12,18200,1,4
0,30,12,36000,1,4
0,50,10,32000,1,4
1,20,10,990,0,2
1,31,12,20000,1,2
1,30,8,28770,1,2
0,61,15,40000,1,1
0,40,9,1e+05,1,4
1,51,12,4350,0,2
1,64,1,0,1,2
0,18,7,0,0,4
1,44,14,73000,0,4
1,32,3,0,1,2
1,46,11,0,1,4
0,59,1,15350,1,2
1,21,9,12000,0,1
1,22,13,12800,0,1
1,32,7,10200,0,2
0,20,11,25500,0,1
1,31,13,26000,1,4
1,18,10,0,0,2
0,93,9,0,0,2
1,24,11,12000,0,1
0,32,9,23000,1,1
1,38,9,26000,0,1
1,85,16,51800,0,1
0,38,8,1400,0,1
1,40,9,4000,1,1
1,44,14,325000,1,1
1,24,13,11000,0,2
1,30,9,13000,1,1
1,35,7,12000,0,2
0,48,15,96000,1,4
1,45,13,25000,0,1
0,27,11,23300,0,1
0,40,10,2900,0,1
0,18,7,4600,0,1
1,52,11,33200,1,1
0,20,8,0,1,3
1,57,12,56000,0,2
1,39,12,33000,0,4
1,66,2,0,0,2
0,41,15,68000,0,1
0,88,13,29000,0,1
0,20,10,0,0,1
1,58,13,52000,1,1
