SpotID,Day,Month,Date,Year,Hour,Minute,Second,Status
1,Tuesday,6,10,2025,20,20,55,0
2,Tuesday,6,10,2025,20,20,55,0
3,Tuesday,6,10,2025,20,20,55,0
4,Tuesday,6,10,2025,20,20,55,0
5,Tuesday,6,10,2025,20,20,55,0
6,Tuesday,6,10,2025,20,20,55,0
7,Tuesday,6,10,2025,20,20,55,0
8,Tuesday,6,10,2025,20,20,55,0
9,Tuesday,6,10,2025,20,20,55,0
10,Tuesday,6,10,2025,20,20,55,0
11,Tuesday,6,10,2025,20,20,55,0
12,Tuesday,6,10,2025,20,20,55,1
13,Tuesday,6,10,2025,20,20,55,0
14,Tuesday,6,10,2025,20,20,55,0
1,Tuesday,6,10,2025,20,21,54,0
2,Tuesday,6,10,2025,20,21,54,0
3,Tuesday,6,10,2025,20,21,54,0
4,Tuesday,6,10,2025,20,21,54,0
5,Tuesday,6,10,2025,20,21,54,0
6,Tuesday,6,10,2025,20,21,54,0
7,Tuesday,6,10,2025,20,21,54,0
8,Tuesday,6,10,2025,20,21,54,0
9,Tuesday,6,10,2025,20,21,54,0
10,Tuesday,6,10,2025,20,21,54,0
11,Tuesday,6,10,2025,20,21,54,0
12,Tuesday,6,10,2025,20,21,54,1
13,Tuesday,6,10,2025,20,21,54,0
14,Tuesday,6,10,2025,20,21,54,0
1,Tuesday,6,10,2025,20,22,54,0
2,Tuesday,6,10,2025,20,22,54,0
3,Tuesday,6,10,2025,20,22,54,0
4,Tuesday,6,10,2025,20,22,54,0
5,Tuesday,6,10,2025,20,22,54,0
6,Tuesday,6,10,2025,20,22,54,0
7,Tuesday,6,10,2025,20,22,54,0
8,Tuesday,6,10,2025,20,22,54,0
9,Tuesday,6,10,2025,20,22,54,0
10,Tuesday,6,10,2025,20,22,54,0
11,Tuesday,6,10,2025,20,22,54,0
12,Tuesday,6,10,2025,20,22,54,1
13,Tuesday,6,10,2025,20,22,54,0
14,Tuesday,6,10,2025,20,22,54,0
1,Tuesday,6,10,2025,20,23,54,0
2,Tuesday,6,10,2025,20,23,54,0
3,Tuesday,6,10,2025,20,23,54,0
4,Tuesday,6,10,2025,20,23,54,0
5,Tuesday,6,10,2025,20,23,54,0
6,Tuesday,6,10,2025,20,23,54,0
7,Tuesday,6,10,2025,20,23,54,0
8,Tuesday,6,10,2025,20,23,54,0
9,Tuesday,6,10,2025,20,23,54,0
10,Tuesday,6,10,2025,20,23,54,0
11,Tuesday,6,10,2025,20,23,54,0
12,Tuesday,6,10,2025,20,23,54,1
13,Tuesday,6,10,2025,20,23,54,0
14,Tuesday,6,10,2025,20,23,54,0
1,Tuesday,6,10,2025,20,24,54,0
2,Tuesday,6,10,2025,20,24,54,0
3,Tuesday,6,10,2025,20,24,54,0
4,Tuesday,6,10,2025,20,24,54,0
5,Tuesday,6,10,2025,20,24,54,0
6,Tuesday,6,10,2025,20,24,54,0
7,Tuesday,6,10,2025,20,24,54,0
8,Tuesday,6,10,2025,20,24,54,0
9,Tuesday,6,10,2025,20,24,54,0
10,Tuesday,6,10,2025,20,24,54,0
11,Tuesday,6,10,2025,20,24,54,0
12,Tuesday,6,10,2025,20,24,54,1
13,Tuesday,6,10,2025,20,24,54,0
14,Tuesday,6,10,2025,20,24,54,0
1,Tuesday,6,10,2025,20,25,54,0
2,Tuesday,6,10,2025,20,25,54,0
3,Tuesday,6,10,2025,20,25,54,0
4,Tuesday,6,10,2025,20,25,54,0
5,Tuesday,6,10,2025,20,25,54,0
6,Tuesday,6,10,2025,20,25,54,0
7,Tuesday,6,10,2025,20,25,54,0
8,Tuesday,6,10,2025,20,25,54,0
9,Tuesday,6,10,2025,20,25,54,0
10,Tuesday,6,10,2025,20,25,54,0
11,Tuesday,6,10,2025,20,25,54,0
12,Tuesday,6,10,2025,20,25,54,1
13,Tuesday,6,10,2025,20,25,54,0
14,Tuesday,6,10,2025,20,25,54,0
1,Tuesday,6,10,2025,20,26,54,0
2,Tuesday,6,10,2025,20,26,54,0
3,Tuesday,6,10,2025,20,26,54,0
4,Tuesday,6,10,2025,20,26,54,0
5,Tuesday,6,10,2025,20,26,54,0
6,Tuesday,6,10,2025,20,26,54,0
7,Tuesday,6,10,2025,20,26,54,0
8,Tuesday,6,10,2025,20,26,54,0
9,Tuesday,6,10,2025,20,26,54,0
10,Tuesday,6,10,2025,20,26,54,0
11,Tuesday,6,10,2025,20,26,54,0
12,Tuesday,6,10,2025,20,26,54,1
13,Tuesday,6,10,2025,20,26,54,0
14,Tuesday,6,10,2025,20,26,54,0
1,Tuesday,6,10,2025,20,27,54,0
2,Tuesday,6,10,2025,20,27,54,0
3,Tuesday,6,10,2025,20,27,54,0
4,Tuesday,6,10,2025,20,27,54,0
5,Tuesday,6,10,2025,20,27,54,0
6,Tuesday,6,10,2025,20,27,54,0
7,Tuesday,6,10,2025,20,27,54,0
8,Tuesday,6,10,2025,20,27,54,0
9,Tuesday,6,10,2025,20,27,54,0
10,Tuesday,6,10,2025,20,27,54,0
11,Tuesday,6,10,2025,20,27,54,0
12,Tuesday,6,10,2025,20,27,54,1
13,Tuesday,6,10,2025,20,27,54,0
14,Tuesday,6,10,2025,20,27,54,0
1,Tuesday,6,10,2025,20,28,54,0
2,Tuesday,6,10,2025,20,28,54,0
3,Tuesday,6,10,2025,20,28,54,0
4,Tuesday,6,10,2025,20,28,54,0
5,Tuesday,6,10,2025,20,28,54,0
6,Tuesday,6,10,2025,20,28,54,0
7,Tuesday,6,10,2025,20,28,54,0
8,Tuesday,6,10,2025,20,28,54,0
9,Tuesday,6,10,2025,20,28,54,0
10,Tuesday,6,10,2025,20,28,54,0
11,Tuesday,6,10,2025,20,28,54,0
12,Tuesday,6,10,2025,20,28,54,1
13,Tuesday,6,10,2025,20,28,54,0
14,Tuesday,6,10,2025,20,28,54,0
1,Tuesday,6,10,2025,20,29,54,0
2,Tuesday,6,10,2025,20,29,54,0
3,Tuesday,6,10,2025,20,29,54,0
4,Tuesday,6,10,2025,20,29,54,0
5,Tuesday,6,10,2025,20,29,54,0
6,Tuesday,6,10,2025,20,29,54,0
7,Tuesday,6,10,2025,20,29,54,0
8,Tuesday,6,10,2025,20,29,54,0
9,Tuesday,6,10,2025,20,29,54,0
10,Tuesday,6,10,2025,20,29,54,0
11,Tuesday,6,10,2025,20,29,54,0
12,Tuesday,6,10,2025,20,29,54,1
13,Tuesday,6,10,2025,20,29,54,0
14,Tuesday,6,10,2025,20,29,54,0
1,Tuesday,6,10,2025,20,30,54,0
2,Tuesday,6,10,2025,20,30,54,0
3,Tuesday,6,10,2025,20,30,54,0
4,Tuesday,6,10,2025,20,30,54,0
5,Tuesday,6,10,2025,20,30,54,0
6,Tuesday,6,10,2025,20,30,54,0
7,Tuesday,6,10,2025,20,30,54,0
8,Tuesday,6,10,2025,20,30,54,0
9,Tuesday,6,10,2025,20,30,54,0
10,Tuesday,6,10,2025,20,30,54,0
11,Tuesday,6,10,2025,20,30,54,0
12,Tuesday,6,10,2025,20,30,54,1
13,Tuesday,6,10,2025,20,30,54,0
14,Tuesday,6,10,2025,20,30,54,0
1,Tuesday,6,10,2025,20,31,54,0
2,Tuesday,6,10,2025,20,31,54,0
3,Tuesday,6,10,2025,20,31,54,0
4,Tuesday,6,10,2025,20,31,54,0
5,Tuesday,6,10,2025,20,31,54,0
6,Tuesday,6,10,2025,20,31,54,0
7,Tuesday,6,10,2025,20,31,54,0
8,Tuesday,6,10,2025,20,31,54,0
9,Tuesday,6,10,2025,20,31,54,0
10,Tuesday,6,10,2025,20,31,54,0
11,Tuesday,6,10,2025,20,31,54,0
12,Tuesday,6,10,2025,20,31,54,1
13,Tuesday,6,10,2025,20,31,54,0
14,Tuesday,6,10,2025,20,31,54,0
1,Tuesday,6,10,2025,20,32,54,0
2,Tuesday,6,10,2025,20,32,54,0
3,Tuesday,6,10,2025,20,32,54,0
4,Tuesday,6,10,2025,20,32,54,0
5,Tuesday,6,10,2025,20,32,54,0
6,Tuesday,6,10,2025,20,32,54,0
7,Tuesday,6,10,2025,20,32,54,0
8,Tuesday,6,10,2025,20,32,54,0
9,Tuesday,6,10,2025,20,32,54,0
10,Tuesday,6,10,2025,20,32,54,0
11,Tuesday,6,10,2025,20,32,54,0
12,Tuesday,6,10,2025,20,32,54,1
13,Tuesday,6,10,2025,20,32,54,0
14,Tuesday,6,10,2025,20,32,54,0
1,Tuesday,6,10,2025,20,33,54,0
2,Tuesday,6,10,2025,20,33,54,0
3,Tuesday,6,10,2025,20,33,54,0
4,Tuesday,6,10,2025,20,33,54,0
5,Tuesday,6,10,2025,20,33,54,0
6,Tuesday,6,10,2025,20,33,54,0
7,Tuesday,6,10,2025,20,33,54,0
8,Tuesday,6,10,2025,20,33,54,0
9,Tuesday,6,10,2025,20,33,54,0
10,Tuesday,6,10,2025,20,33,54,0
11,Tuesday,6,10,2025,20,33,54,0
12,Tuesday,6,10,2025,20,33,54,1
13,Tuesday,6,10,2025,20,33,54,0
14,Tuesday,6,10,2025,20,33,54,0
1,Tuesday,6,10,2025,20,34,54,0
2,Tuesday,6,10,2025,20,34,54,0
3,Tuesday,6,10,2025,20,34,54,0
4,Tuesday,6,10,2025,20,34,54,0
5,Tuesday,6,10,2025,20,34,54,0
6,Tuesday,6,10,2025,20,34,54,0
7,Tuesday,6,10,2025,20,34,54,0
8,Tuesday,6,10,2025,20,34,54,0
9,Tuesday,6,10,2025,20,34,54,0
10,Tuesday,6,10,2025,20,34,54,0
11,Tuesday,6,10,2025,20,34,54,0
12,Tuesday,6,10,2025,20,34,54,1
13,Tuesday,6,10,2025,20,34,54,0
14,Tuesday,6,10,2025,20,34,54,0
1,Tuesday,6,10,2025,20,35,54,0
2,Tuesday,6,10,2025,20,35,54,0
3,Tuesday,6,10,2025,20,35,54,0
4,Tuesday,6,10,2025,20,35,54,0
5,Tuesday,6,10,2025,20,35,54,0
6,Tuesday,6,10,2025,20,35,54,0
7,Tuesday,6,10,2025,20,35,54,0
8,Tuesday,6,10,2025,20,35,54,0
9,Tuesday,6,10,2025,20,35,54,0
10,Tuesday,6,10,2025,20,35,54,0
11,Tuesday,6,10,2025,20,35,54,0
12,Tuesday,6,10,2025,20,35,54,1
13,Tuesday,6,10,2025,20,35,54,0
14,Tuesday,6,10,2025,20,35,54,0
1,Tuesday,6,10,2025,20,36,54,0
2,Tuesday,6,10,2025,20,36,54,0
3,Tuesday,6,10,2025,20,36,54,0
4,Tuesday,6,10,2025,20,36,54,0
5,Tuesday,6,10,2025,20,36,54,0
6,Tuesday,6,10,2025,20,36,54,0
7,Tuesday,6,10,2025,20,36,54,0
8,Tuesday,6,10,2025,20,36,54,0
9,Tuesday,6,10,2025,20,36,54,0
